candidate_id,energy_proxy_eu_h,energy_avt_T6,energy_avt_F12,energy_hdt_W4,energy_hdt_T12,energy_hdt_F25
176,87.3320019195312,0.0,-5.9857282387062005,0.0,0.0396151418627805,-6.721884983625387
177,90.63231583986169,0.0,-5.9857282387062005,0.0,0.0396151418627805,-3.4215710632948984
178,94.05388690315658,0.0,-5.9857282387062005,0.0,0.0396151418627805,0.0
179,97.59671510941591,0.0,-5.9857282387062005,0.0,0.0396151418627805,3.5428282062593297
180,101.26080045863964,0.0,-5.9857282387062005,0.0,0.0396151418627805,7.206913555483052
181,105.0461429508278,0.0,-5.9857282387062005,0.0,0.0396151418627805,10.992256047671212
182,84.19256028402792,0.0,-5.9857282387062005,0.0,0.079230283725561,-9.900941760991444
183,87.37161706139398,0.0,-5.9857282387062005,0.0,0.079230283725561,-6.721884983625387
184,90.67193098172447,0.0,-5.9857282387062005,0.0,0.079230283725561,-3.4215710632948984
185,94.09350204501936,0.0,-5.9857282387062005,0.0,0.079230283725561,0.0
186,97.6363302512787,0.0,-5.9857282387062005,0.0,0.079230283725561,3.5428282062593297
187,101.30041560050242,0.0,-5.9857282387062005,0.0,0.079230283725561,7.206913555483052
188,105.08575809269058,0.0,-5.9857282387062005,0.0,0.079230283725561,10.992256047671212
189,84.2321754258907,0.0,-5.9857282387062005,0.0,0.11884542558834149,-9.900941760991444
190,87.41123220325676,0.0,-5.9857282387062005,0.0,0.11884542558834149,-6.721884983625387
191,90.71154612358725,0.0,-5.9857282387062005,0.0,0.11884542558834149,-3.4215710632948984
192,94.13311718688215,0.0,-5.9857282387062005,0.0,0.11884542558834149,0.0
193,97.67594539314148,0.0,-5.9857282387062005,0.0,0.11884542558834149,3.5428282062593297
194,101.3400307423652,0.0,-5.9857282387062005,0.0,0.11884542558834149,7.206913555483052
195,105.12537323455336,0.0,-5.9857282387062005,0.0,0.11884542558834149,10.992256047671212
196,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
197,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
198,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
199,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
200,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
201,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
202,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
203,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
204,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
205,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
206,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
207,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
208,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
209,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
210,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
211,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
212,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
213,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
214,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
215,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
216,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
217,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
218,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
219,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
220,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
221,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
222,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
223,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
224,84.15294514216514,0.0,-5.9857282387062005,0.0,0.0396151418627805,-9.900941760991444
225,87.3320019195312,0.0,-5.9857282387062005,0.0,0.0396151418627805,-6.721884983625387
226,90.63231583986169,0.0,-5.9857282387062005,0.0,0.0396151418627805,-3.4215710632948984
227,94.05388690315658,0.0,-5.9857282387062005,0.0,0.0396151418627805,0.0
228,97.59671510941591,0.0,-5.9857282387062005,0.0,0.0396151418627805,3.5428282062593297
229,101.26080045863964,0.0,-5.9857282387062005,0.0,0.0396151418627805,7.206913555483052
230,105.0461429508278,0.0,-5.9857282387062005,0.0,0.0396151418627805,10.992256047671212
231,84.19256028402792,0.0,-5.9857282387062005,0.0,0.079230283725561,-9.900941760991444
232,87.37161706139398,0.0,-5.9857282387062005,0.0,0.079230283725561,-6.721884983625387
233,90.67193098172447,0.0,-5.9857282387062005,0.0,0.079230283725561,-3.4215710632948984
234,94.09350204501936,0.0,-5.9857282387062005,0.0,0.079230283725561,0.0
235,97.6363302512787,0.0,-5.9857282387062005,0.0,0.079230283725561,3.5428282062593297
236,101.30041560050242,0.0,-5.9857282387062005,0.0,0.079230283725561,7.206913555483052
237,105.08575809269058,0.0,-5.9857282387062005,0.0,0.079230283725561,10.992256047671212
238,84.2321754258907,0.0,-5.9857282387062005,0.0,0.11884542558834149,-9.900941760991444
239,87.41123220325676,0.0,-5.9857282387062005,0.0,0.11884542558834149,-6.721884983625387
240,90.71154612358725,0.0,-5.9857282387062005,0.0,0.11884542558834149,-3.4215710632948984
241,94.13311718688215,0.0,-5.9857282387062005,0.0,0.11884542558834149,0.0
242,97.67594539314148,0.0,-5.9857282387062005,0.0,0.11884542558834149,3.5428282062593297
243,101.3400307423652,0.0,-5.9857282387062005,0.0,0.11884542558834149,7.206913555483052
244,105.12537323455336,0.0,-5.9857282387062005,0.0,0.11884542558834149,10.992256047671212
245,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
246,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
